INFO 2025-06-23 16:55:32,043 basehttp 40064 39488 "POST /api/logout/ HTTP/1.1" 204 0
INFO 2025-06-23 16:55:32,452 basehttp 40064 39488 "POST /api/logout/ HTTP/1.1" 204 0
INFO 2025-06-23 16:55:32,629 basehttp 40064 39488 "POST /api/logout/ HTTP/1.1" 204 0
INFO 2025-06-23 16:55:32,796 basehttp 40064 39488 "POST /api/logout/ HTTP/1.1" 204 0
INFO 2025-06-23 16:55:32,962 basehttp 40064 39488 "POST /api/logout/ HTTP/1.1" 204 0
INFO 2025-06-23 16:56:50,290 autoreload 3104 25388 Watching for file changes with StatReloader
INFO 2025-06-23 16:56:53,619 basehttp 3104 37588 "GET /api/tipos-tarea/ HTTP/1.1" 200 650
INFO 2025-06-23 16:56:53,623 basehttp 3104 37588 "GET /api/tipos-tarea/ HTTP/1.1" 200 650
INFO 2025-06-23 16:56:54,994 basehttp 3104 28468 "GET /api/mantenimiento-workflow/equipos-criticos/ HTTP/1.1" 200 91
INFO 2025-06-23 16:56:54,998 basehttp 3104 28468 "GET /api/mantenimiento-workflow/equipos-criticos/ HTTP/1.1" 200 91
INFO 2025-06-23 16:56:55,006 basehttp 3104 37588 "GET /api/mantenimiento-workflow/dashboard/ HTTP/1.1" 200 673
INFO 2025-06-23 16:56:55,010 basehttp 3104 37588 "GET /api/mantenimiento-workflow/dashboard/ HTTP/1.1" 200 673
INFO 2025-06-23 16:57:00,150 basehttp 3104 37588 "GET /api/ordenes-trabajo/?fechaInicio=&fechaFin= HTTP/1.1" 200 52
INFO 2025-06-23 16:57:00,158 basehttp 3104 28468 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:57:00,158 basehttp 3104 37588 "GET /api/users/ HTTP/1.1" 200 614
INFO 2025-06-23 16:57:00,163 basehttp 3104 37588 "GET /api/tipos-equipo/ HTTP/1.1" 200 342
INFO 2025-06-23 16:57:00,165 basehttp 3104 28468 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 1003
INFO 2025-06-23 16:57:00,167 basehttp 3104 37588 "GET /api/ordenes-trabajo/?fechaInicio=&fechaFin= HTTP/1.1" 200 52
INFO 2025-06-23 16:57:00,172 basehttp 3104 28468 "GET /api/users/ HTTP/1.1" 200 614
INFO 2025-06-23 16:57:00,174 basehttp 3104 28468 "GET /api/tipos-equipo/ HTTP/1.1" 200 342
INFO 2025-06-23 16:57:00,179 basehttp 3104 28468 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 1003
INFO 2025-06-23 16:57:00,188 basehttp 3104 37588 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:57:13,947 basehttp 3104 28468 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:57:13,947 basehttp 3104 25392 "GET /api/estados-equipo/ HTTP/1.1" 200 365
INFO 2025-06-23 16:57:13,947 basehttp 3104 37588 "GET /api/tipos-equipo/ HTTP/1.1" 200 342
INFO 2025-06-23 16:57:13,950 basehttp 3104 28468 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:57:13,957 basehttp 3104 25392 "GET /api/estados-equipo/ HTTP/1.1" 200 365
INFO 2025-06-23 16:57:13,957 basehttp 3104 37588 "GET /api/tipos-equipo/ HTTP/1.1" 200 342
INFO 2025-06-23 16:57:13,973 basehttp 3104 18628 "GET /api/users/ HTTP/1.1" 200 614
INFO 2025-06-23 16:57:13,978 basehttp 3104 18628 "GET /api/users/ HTTP/1.1" 200 614
INFO 2025-06-23 16:57:13,982 basehttp 3104 37588 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:57:13,989 basehttp 3104 37588 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:57:14,057 basehttp 3104 37588 "GET /api/roles/ HTTP/1.1" 200 236
INFO 2025-06-23 16:57:14,059 basehttp 3104 37588 "GET /api/roles/ HTTP/1.1" 200 236
INFO 2025-06-23 16:57:14,062 basehttp 3104 18628 "GET /api/users/ HTTP/1.1" 200 614
INFO 2025-06-23 16:57:14,067 basehttp 3104 18628 "GET /api/users/ HTTP/1.1" 200 614
